NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,210005,"Acailandia",204692,407.33708,1838.13416,513.77692,0,372.53944,4.0733708,3.4388256,3.1931952,2.0878584
3,210047,"Alto_Alegre_Do_Pindare",127513,253.75087,1145.06674,320.05763,0,232.07366,2.5375087,2.1422184,1.9892028,1.3006326
3,210060,"Amarante_Do_Maranhao",63782,126.92618,572.76236,160.09282,0,116.08324,1.2692618,1.0715376,0.9949992,0.6505764
3,210070,"Anajatuba",101693,202.36907,913.20314,255.24943,0,185.08126,2.0236907,1.7084424,1.5864108,1.0372686
3,210090,"Araioses",63193,125.75407,567.47314,158.61443,0,115.01126,1.2575407,1.0616424,0.9858108,0.6445686
3,210095,"Arame",70070,139.4393,629.2286,175.8757,0,127.5274,1.394393,1.177176,1.093092,0.714714
3,210120,"Bacabal",241681,480.94519,2170.29538,606.61931,0,439.85942,4.8094519,4.0602408,3.7702236,2.4651462
3,210140,"Balsas",242483,482.54117,2177.49734,608.63233,0,441.31906,4.8254117,4.0737144,3.7827348,2.4733266
3,210160,"Barra_Do_Corda",105754,210.45046,949.67092,265.44254,0,192.47228,2.1045046,1.7766672,1.6497624,1.0786908
3,210170,"Barreirinhas",83834,166.82966,752.82932,210.42334,0,152.57788,1.6682966,1.4084112,1.3078104,0.8551068
3,210200,"Bom_Jardim",271243,539.77357,2435.76214,680.81993,0,493.66226,5.3977357,4.5568824,4.2313908,2.7666786
3,210203,"Bom_Jesus_Das_Selvas",36109,71.85691,324.25882,90.63359,0,65.71838,0.7185691,0.6066312,0.5633004,0.3683118
3,210210,"Brejo",38978,77.56622,350.02244,97.83478,0,70.93996,0.7756622,0.6548304,0.6080568,0.3975756
3,210220,"Buriti",103074,205.11726,925.60452,258.71574,0,187.59468,2.0511726,1.7316432,1.6079544,1.0513548
3,210232,"Buriticupu",77357,153.94043,694.66586,194.16607,0,140.78974,1.5394043,1.2995976,1.2067692,0.7890414
3,210300,"Caxias",225377,448.50023,2023.88546,565.69627,0,410.18614,4.4850023,3.7863336,3.5158812,2.2988454
3,210320,"Chapadinha",120140,239.0786,1078.8572,301.5514,0,218.6548,2.390786,2.018352,1.874184,1.225428
3,210350,"Colinas",136589,271.81211,1226.56922,342.83839,0,248.59198,2.7181211,2.2946952,2.1307884,1.3932078
