CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
350170,"Americo_Brasiliense",350170,"Americo_Brasiliense",0,2
351885,"Guatapara",350170,"Americo_Brasiliense",0.66,2
350190,"Amparo",350190,"Amparo",0,2
353710,"Pedreira",350190,"Amparo",0.36,2
355160,"Serra_Negra",350190,"Amparo",0.35,2
350210,"Andradina",350210,"Andradina",0,2
353320,"Nova_Independencia",350210,"Andradina",0.43,2
350220,"Angatuba",350220,"Angatuba",0,2
350250,"Aparecida",350250,"Aparecida",0,2
350270,"Apiai",350270,"Apiai",0,2
350535,"Barra_Do_Chapeu",350270,"Apiai",0.59,2
352265,"Itapirapua_Paulista",350270,"Apiai",0.94,2
350310,"Arandu",350310,"Arandu",0,2
350330,"Araras",350330,"Araras",0,2
353070,"Mogi_Guacu",350330,"Araras",0.85,2
350340,"Arealva",350340,"Arealva",0,2
350400,"Assis",350400,"Assis",0,2
351000,"Candido_Mota",350400,"Assis",0.19,2
351470,"Echapora",350400,"Assis",0.58,2
350420,"Auriflama",350420,"Auriflama",0,2
351690,"General_Salgado",350420,"Auriflama",0.33,2
354805,"Santo_Antonio_Do_Aracangua",350420,"Auriflama",0.59,2
350450,"Avare",350450,"Avare",0,2
350490,"Bananal",350490,"Bananal",0,2
354960,"Sao_Jose_Do_Barreiro",350490,"Bananal",0.75,2
350520,"Bariri",350520,"Bariri",0,2
350540,"Barra_Do_Turvo",350540,"Barra_Do_Turvo",0,2
352120,"Iporanga",350540,"Barra_Do_Turvo",1.06,2
350550,"Barretos",350550,"Barretos",0,2
350570,"Barueri",350570,"Barueri",0,2
350590,"Batatais",350590,"Batatais",0,2
350600,"Bauru",350600,"Bauru",0,2
350680,"Bocaina",350600,"Bauru",1.01,2
352290,"Itapui",350600,"Bauru",0.74,2
353940,"Piratininga",350600,"Bauru",0.25,2
350630,"Bernardino_De_Campos",350630,"Bernardino_De_Campos",0,2
355460,"Timburi",350630,"Bernardino_De_Campos",0.63,2
350635,"Bertioga",350635,"Bertioga",0,2
350740,"Borborema",350740,"Borborema",0,2
350750,"Botucatu",350750,"Botucatu",0,2
354700,"Santa_Maria_Da_Serra",350750,"Botucatu",0.96,2
355010,"Sao_Manuel",350750,"Botucatu",0.37,2
350760,"Braganca_Paulista",350760,"Braganca_Paulista",0,2
352550,"Joanopolis",350760,"Braganca_Paulista",0.72,2
353680,"Pedra_Bela",350760,"Braganca_Paulista",0.57,2
353860,"Piracaia",350760,"Braganca_Paulista",0.5,2
350810,"Buritama",350810,"Buritama",0,2
353330,"Nova_Luzitania",350810,"Buritama",0.55,2
350850,"Cacapava",350850,"Cacapava",0,2
353800,"Pindamonhangaba",350850,"Cacapava",0.47,2
350350,"Areias",350860,"Cachoeira_Paulista",1.01,2
350860,"Cachoeira_Paulista",350860,"Cachoeira_Paulista",0,2
350880,"Cafelandia",350880,"Cafelandia",0,2
354010,"Pongai",350880,"Cafelandia",0.6,2
350925,"Cajati",350925,"Cajati",0,2
351480,"Eldorado",350925,"Cajati",0.62,2
350930,"Cajobi",350930,"Cajobi",0,2
350940,"Cajuru",350940,"Cajuru",0,2
350950,"Campinas",350950,"Campinas",0,2
351907,"Hortolandia",350950,"Campinas",0.39,2
353650,"Paulinia",350950,"Campinas",0.39,2
350970,"Campos_Do_Jordao",350970,"Campos_Do_Jordao",0,2
350990,"Cananeia",350990,"Cananeia",0,2
350800,"Buri",351020,"Capao_Bonito",0.66,2
351020,"Capao_Bonito",351020,"Capao_Bonito",0,2
351050,"Caraguatatuba",351050,"Caraguatatuba",0,2
351070,"Cardoso",351070,"Cardoso",0,2
351080,"Casa_Branca",351080,"Casa_Branca",0,2
353050,"Mococa",351080,"Casa_Branca",0.45,2
354620,"Santa_Cruz_Da_Conceicao",351080,"Casa_Branca",1.07,2
355330,"Tambau",351080,"Casa_Branca",0.46,2
351110,"Catanduva",351110,"Catanduva",0,2
352190,"Itajobi",351110,"Catanduva",0.38,2
354560,"Santa_Adelia",351110,"Catanduva",0.39,2
351140,"Cerqueira_Cesar",351140,"Cerqueira_Cesar",0,2
350690,"Bofete",351160,"Cesario_Lange",0.62,2
350700,"Boituva",351160,"Cesario_Lange",0.41,2
351160,"Cesario_Lange",351160,"Cesario_Lange",0,2
351850,"Guarei",351160,"Cesario_Lange",0.59,2
350640,"Bilac",351190,"Clementina",0.36,2
351190,"Clementina",351190,"Clementina",0,2
354380,"Rinopolis",351190,"Clementina",0.48,2
350610,"Bebedouro",351200,"Colina",0.43,2
351200,"Colina",351200,"Colina",0,2
351210,"Colombia",351200,"Colina",0.93,2
352420,"Jaborandi",351200,"Colina",0.29,2
351220,"Conchal",351220,"Conchal",0,2
350230,"Anhembi",351230,"Conchas",0.71,2
351230,"Conchas",351230,"Conchas",0,2
351300,"Cotia",351300,"Cotia",0,2
351360,"Cunha",351360,"Cunha",0,2
351380,"Diadema",351380,"Diadema",0,2
351450,"Duartina",351450,"Duartina",0,2
351518,"Espirito_Santo_Do_Pinhal",351518,"Espirito_Santo_Do_Pinhal",0,2
351535,"Euclides_Da_Cunha_Paulista",351535,"Euclides_Da_Cunha_Paulista",0,2
354425,"Rosana",351535,"Euclides_Da_Cunha_Paulista",1.04,2
351540,"Fartura",351540,"Fartura",0,2
351570,"Ferraz_De_Vasconcelos",351570,"Ferraz_De_Vasconcelos",0,2
351620,"Franca",351620,"Franca",0,2
351770,"Guara",351620,"Franca",0.93,2
354940,"Sao_Joaquim_Da_Barra",351620,"Franca",0.92,2
350150,"Alvinlandia",351660,"Galia",0.64,2
351660,"Galia",351660,"Galia",0,2
352780,"Lupercio",351660,"Galia",0.64,2
351740,"Guaira",351740,"Guaira",0,2
351830,"Guararema",351830,"Guararema",0,2
351840,"Guaratingueta",351840,"Guaratingueta",0,2
351860,"Guariba",351860,"Guariba",0,2
350900,"Caieiras",351880,"Guarulhos",0.73,2
351880,"Guarulhos",351880,"Guarulhos",0,2
351910,"Iacanga",351910,"Iacanga",0,2
351930,"Ibate",351930,"Ibate",0,2
351990,"Iepe",351990,"Iepe",0,2
352010,"Igarapava",352010,"Igarapava",0,2
352030,"Iguape",352030,"Iguape",0,2
352040,"Ilhabela",352040,"Ilhabela",0,2
352044,"Ilha_Solteira",352044,"Ilha_Solteira",0,2
352130,"Ipua",352130,"Ipua",0,2
352170,"Itabera",352170,"Itabera",0,2
352180,"Itai",352180,"Itai",0,2
355380,"Taquarituba",352180,"Itai",0.42,2
352210,"Itanhaem",352210,"Itanhaem",0,2
351630,"Francisco_Morato",352220,"Itapecerica_Da_Serra",0.97,2
352220,"Itapecerica_Da_Serra",352220,"Itapecerica_Da_Serra",0,2
352230,"Itapetininga",352230,"Itapetininga",0,2
352240,"Itapeva",352240,"Itapeva",0,2
351500,"Embu_Das_Artes",352250,"Itapevi",0.43,2
352250,"Itapevi",352250,"Itapevi",0,2
354520,"Salto",352250,"Itapevi",0.86,2
354730,"Santana_De_Parnaiba",352250,"Itapevi",0.37,2
350050,"Aguas_De_Lindoia",352260,"Itapira",0.56,2
352260,"Itapira",352260,"Itapira",0,2
352270,"Itapolis",352270,"Itapolis",0,2
352280,"Itaporanga",352280,"Itaporanga",0,2
351640,"Franco_Da_Rocha",352310,"Itaquaquecetuba",1.04,2
352310,"Itaquaquecetuba",352310,"Itaquaquecetuba",0,2
352320,"Itarare",352320,"Itarare",0,2
352340,"Itatiba",352340,"Itatiba",0,2
353200,"Morungaba",352340,"Itatiba",0.33,2
355620,"Valinhos",352340,"Itatiba",0.37,2
352350,"Itatinga",352350,"Itatinga",0,2
351150,"Cerquilho",352390,"Itu",0.85,2
352390,"Itu",352390,"Itu",0,2
353180,"Monte_Mor",352390,"Itu",0.8,2
354060,"Porto_Feliz",352390,"Itu",0.4,2
355450,"Tiete",352390,"Itu",0.8,2
355700,"Votorantim",352390,"Itu",0.56,2
352400,"Itupeva",352400,"Itupeva",0,2
352590,"Jundiai",352400,"Itupeva",0.38,2
352440,"Jacarei",352440,"Jacarei",0,2
352450,"Jaci",352450,"Jaci",0,2
353030,"Mirassol",352450,"Jaci",0.28,2
352470,"Jaguariuna",352470,"Jaguariuna",0,2
352480,"Jales",352480,"Jales",0,2
353520,"Palmeira_Doeste",352480,"Jales",0.53,2
355580,"Urania",352480,"Jales",0.17,2
351410,"Dois_Corregos",352530,"Jau",0.51,2
352530,"Jau",352530,"Jau",0,2
350020,"Adolfo",352570,"Jose_Bonifacio",0.53,2
352570,"Jose_Bonifacio",352570,"Jose_Bonifacio",0,2
350070,"Agudos",352680,"Lencois_Paulista",0.46,2
352680,"Lencois_Paulista",352680,"Lencois_Paulista",0,2
352800,"Macatuba",352680,"Lencois_Paulista",0.33,2
351700,"Getulina",352710,"Lins",0.39,2
352710,"Lins",352710,"Lins",0,2
354460,"Sabino",352710,"Lins",0.58,2
352810,"Macaubal",352810,"Macaubal",0,2
352880,"Maracai",352880,"Maracai",0,2
353715,"Pedrinhas_Paulista",352880,"Maracai",0.6,2
351670,"Garca",352900,"Marilia",0.5,2
352900,"Marilia",352900,"Marilia",0,2
354000,"Pompeia",352900,"Marilia",0.55,2
352920,"Martinopolis",352920,"Martinopolis",0,2
352930,"Matao",352930,"Matao",0,2
352970,"Miguelopolis",352970,"Miguelopolis",0,2
353010,"Mirandopolis",353010,"Mirandopolis",0,2
355630,"Valparaiso",353010,"Mirandopolis",0.49,2
353060,"Mogi_Das_Cruzes",353060,"Mogi_Das_Cruzes",0,2
353150,"Monte_Azul_Paulista",353150,"Monte_Azul_Paulista",0,2
353260,"Nhandeara",353260,"Nhandeara",0,2
353290,"Nova_Europa",353290,"Nova_Europa",0,2
