NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,420010,"Abelardo_Luz",21651,8.87691,54.77703,27.06375,105.65688,0,0,0,0,0
1,420040,"Agua_Doce",15990,6.5559,40.4547,19.9875,78.0312,0,0,0,0,0
1,420070,"Alfredo_Wagner",10768,4.41488,27.24304,13.46,52.54784,0,0,0,0,0
1,420090,"Angelina",8335,3.41735,21.08755,10.41875,40.6748,0,0,0,0,0
1,420100,"Anita_Garibaldi",10666,4.37306,26.98498,13.3325,52.05008,0,0,0,0,0
1,420110,"Anitapolis",3490,1.4309,8.8297,4.3625,17.0312,0,0,0,0,0
1,420127,"Arabuta",4601,1.88641,11.64053,5.75125,22.45288,0,0,0,0,0
1,420140,"Ararangua",105390,43.2099,266.6367,131.7375,514.3032,0,0,0,0,0
1,420160,"Arroio_Trinta",5754,2.35914,14.55762,7.1925,28.07952,0,0,0,0,0
1,420165,"Arvoredo",2422,0.99302,6.12766,3.0275,11.81936,0,0,0,0,0
1,420200,"Balneario_Camboriu",208167,85.34847,526.66251,260.20875,1015.85496,0,0,0,0,0
1,420205,"Balneario_Barra_Do_Sul",11379,4.66539,28.78887,14.22375,55.52952,0,0,0,0,0
1,420210,"Barra_Velha",30699,12.58659,77.66847,38.37375,149.81112,0,0,0,0,0
1,420220,"Benedito_Novo",76108,31.20428,192.55324,95.135,371.40704,0,0,0,0,0
1,420240,"Blumenau",380145,155.85945,961.76685,475.18125,1855.1076,0,0,0,0,0
1,420243,"Bocaina_Do_Sul",6409,2.62769,16.21477,8.01125,31.27592,0,0,0,0,0
1,420250,"Bom_Jardim_Da_Serra",5082,2.08362,12.85746,6.3525,24.80016,0,0,0,0,0
1,420260,"Bom_Retiro",10645,4.36445,26.93185,13.30625,51.9476,0,0,0,0,0
1,420280,"Braco_Do_Norte",78445,32.16245,198.46585,98.05625,382.8116,0,0,0,0,0
1,420287,"Brunopolis",2667,1.09347,6.74751,3.33375,13.01496,0,0,0,0,0
1,420290,"Brusque",172723,70.81643,436.98919,215.90375,842.88824,0,0,0,0,0
1,420300,"Cacador",83979,34.43139,212.46687,104.97375,409.81752,0,0,0,0,0
1,420310,"Caibi",11651,4.77691,29.47703,14.56375,56.85688,0,0,0,0,0
1,420315,"Calmon",6382,2.61662,16.14646,7.9775,31.14416,0,0,0,0,0
1,420340,"Campo_Belo_Do_Sul",11068,4.53788,28.00204,13.835,54.01184,0,0,0,0,0
1,420350,"Campo_Ere",13421,5.50261,33.95513,16.77625,65.49448,0,0,0,0,0
1,420360,"Campos_Novos",38752,15.88832,98.04256,48.44,189.10976,0,0,0,0,0
1,420380,"Canoinhas",58586,24.02026,148.22258,73.2325,285.89968,0,0,0,0,0
1,420390,"Capinzal",35919,14.72679,90.87507,44.89875,175.28472,0,0,0,0,0
1,420400,"Catanduvas",20734,8.50094,52.45702,25.9175,101.18192,0,0,0,0,0
1,420410,"Caxambu_Do_Sul",12182,4.99462,30.82046,15.2275,59.44816,0,0,0,0,0
1,420415,"Celso_Ramos",2953,1.21073,7.47109,3.69125,14.41064,0,0,0,0,0
1,420420,"Chapeco",233672,95.80552,591.19016,292.09,1140.31936,0,0,0,0,0
1,420430,"Concordia",79927,32.77007,202.21531,99.90875,390.04376,0,0,0,0,0
1,420440,"Coronel_Freitas",10809,4.43169,27.34677,13.51125,52.74792,0,0,0,0,0
1,420460,"Criciuma",229755,94.19955,581.28015,287.19375,1121.2044,0,0,0,0,0
1,420470,"Cunha_Pora",11921,4.88761,30.16013,14.90125,58.17448,0,0,0,0,0
1,420480,"Curitibanos",48636,19.94076,123.04908,60.795,237.34368,0,0,0,0,0
1,420490,"Descanso",11876,4.86916,30.04628,14.845,57.95488,0,0,0,0,0
1,420540,"Florianopolis",531699,217.99659,1345.19847,664.62375,2594.69112,0,0,0,0,0
1,420550,"Fraiburgo",62795,25.74595,158.87135,78.49375,306.4396,0,0,0,0,0
1,420555,"Frei_Rogerio",2240,0.9184,5.6672,2.8,10.9312,0,0,0,0,0
1,420570,"Garopaba",24341,9.97981,61.58273,30.42625,118.78408,0,0,0,0,0
1,420580,"Garuva",19198,7.87118,48.57094,23.9975,93.68624,0,0,0,0,0
1,420590,"Gaspar",88948,36.46868,225.03844,111.185,434.06624,0,0,0,0,0
1,420650,"Guaramirim",69620,28.5442,176.1386,87.025,339.7456,0,0,0,0,0
1,420660,"Guaruja_Do_Sul",22209,9.10569,56.18877,27.76125,108.37992,0,0,0,0,0
1,420690,"Ibirama",31750,13.0175,80.3275,39.6875,154.94,0,0,0,0,0
1,420700,"Icara",59947,24.57827,151.66591,74.93375,292.54136,0,0,0,0,0
1,420720,"Imarui",11137,4.56617,28.17661,13.92125,54.34856,0,0,0,0,0
1,420730,"Imbituba",47900,19.639,121.187,59.875,233.752,0,0,0,0,0
1,420750,"Indaial",94172,38.61052,238.25516,117.715,459.55936,0,0,0,0,0
1,420760,"Ipira",9114,3.73674,23.05842,11.3925,44.47632,0,0,0,0,0
1,420765,"Ipora_Do_Oeste",16990,6.9659,42.9847,21.2375,82.9112,0,0,0,0,0
1,420768,"Ipuacu",21672,8.88552,54.83016,27.09,105.75936,0,0,0,0,0
1,420770,"Ipumirim",8159,3.34519,20.64227,10.19875,39.81592,0,0,0,0,0
1,420785,"Irati",3825,1.56825,9.67725,4.78125,18.666,0,0,0,0,0
1,420790,"Irineopolis",12031,4.93271,30.43843,15.03875,58.71128,0,0,0,0,0
1,420800,"Ita",6697,2.74577,16.94341,8.37125,32.68136,0,0,0,0,0
1,420820,"Itajai",232853,95.46973,589.11809,291.06625,1136.32264,0,0,0,0,0
1,420830,"Itapema",198572,81.41452,502.38716,248.215,969.03136,0,0,0,0,0
1,420845,"Itapoa",21531,8.82771,54.47343,26.91375,105.07128,0,0,0,0,0
1,420850,"Ituporanga",49161,20.15601,124.37733,61.45125,239.90568,0,0,0,0,0
1,420880,"Jaguaruna",47795,19.59595,120.92135,59.74375,233.2396,0,0,0,0,0
1,420890,"Jaragua_Do_Sul",204781,83.96021,518.09593,255.97625,999.33128,0,0,0,0,0
1,420910,"Joinville",628949,257.86909,1591.24097,786.18625,3069.27112,0,0,0,0,0
1,420917,"Jupia",5020,2.0582,12.7006,6.275,24.4976,0,0,0,0,0
1,420930,"Lages",186954,76.65114,472.99362,233.6925,912.33552,0,0,0,0,0
1,420940,"Laguna",59883,24.55203,151.50399,74.85375,292.22904,0,0,0,0,0
1,420980,"Leoberto_Leal",3325,1.36325,8.41225,4.15625,16.226,0,0,0,0,0
1,420985,"Lindoia_Do_Sul",16091,6.59731,40.71023,20.11375,78.52408,0,0,0,0,0
1,421000,"Luiz_Alves",13599,5.57559,34.40547,16.99875,66.36312,0,0,0,0,0
1,421003,"Luzerna",69739,28.59299,176.43967,87.17375,340.32632,0,0,0,0,0
1,421010,"Mafra",60417,24.77097,152.85501,75.52125,294.83496,0,0,0,0,0
1,421030,"Major_Vieira",8680,3.5588,21.9604,10.85,42.3584,0,0,0,0,0
1,421050,"Maravilha",39870,16.3467,100.8711,49.8375,194.5656,0,0,0,0,0
1,421060,"Massaranduba",22014,9.02574,55.69542,27.5175,107.42832,0,0,0,0,0
1,421090,"Modelo",34538,14.16058,87.38114,43.1725,168.54544,0,0,0,0,0
1,421100,"Mondai",12503,5.12623,31.63259,15.62875,61.01464,0,0,0,0,0
1,421120,"Morro_Da_Fumaca",47983,19.67303,121.39699,59.97875,234.15704,0,0,0,0,0
1,421130,"Navegantes",85513,35.06033,216.34789,106.89125,417.30344,0,0,0,0,0
1,421140,"Nova_Erechim",15286,6.26726,38.67358,19.1075,74.59568,0,0,0,0,0
1,421150,"Nova_Trento",15436,6.32876,39.05308,19.295,75.32768,0,0,0,0,0
1,421160,"Nova_Veneza",48800,20.008,123.464,61,238.144,0,0,0,0,0
1,421170,"Orleans",45255,18.55455,114.49515,56.56875,220.8444,0,0,0,0,0
1,421175,"Otacilio_Costa",22771,9.33611,57.61063,28.46375,111.12248,0,0,0,0,0
1,421187,"Paial",1658,0.67978,4.19474,2.0725,8.09104,0,0,0,0,0
1,421189,"Painel",5215,2.13815,13.19395,6.51875,25.4492,0,0,0,0,0
1,421190,"Palhoca",189476,77.68516,479.37428,236.845,924.64288,0,0,0,0,0
1,421200,"Palma_Sola",14232,5.83512,36.00696,17.79,69.45216,0,0,0,0,0
1,421210,"Palmitos",17453,7.15573,44.15609,21.81625,85.17064,0,0,0,0,0
1,421220,"Papanduva",52907,21.69187,133.85471,66.13375,258.18616,0,0,0,0,0
1,421260,"Peritiba",5136,2.10576,12.99408,6.42,25.06368,0,0,0,0,0
1,421320,"Pomerode",35456,14.53696,89.70368,44.32,173.02528,0,0,0,0,0
1,421330,"Ponte_Alta",8760,3.5916,22.1628,10.95,42.7488,0,0,0,0,0
1,421360,"Porto_Uniao",38019,15.58779,96.18807,47.52375,185.53272,0,0,0,0,0
1,421370,"Pouso_Redondo",21058,8.63378,53.27674,26.3225,102.76304,0,0,0,0,0
1,421380,"Praia_Grande",7901,3.23941,19.98953,9.87625,38.55688,0,0,0,0,0
1,421390,"Presidente_Castello_Branco",1715,0.70315,4.33895,2.14375,8.3692,0,0,0,0,0
1,421400,"Presidente_Getulio",23944,9.81704,60.57832,29.93,116.84672,0,0,0,0,0
1,421410,"Presidente_Nereu",2470,1.0127,6.2491,3.0875,12.0536,0,0,0,0,0
1,421420,"Quilombo",14837,6.08317,37.53761,18.54625,72.40456,0,0,0,0,0
1,421450,"Rio_Do_Campo",6449,2.64409,16.31597,8.06125,31.47112,0,0,0,0,0
1,421480,"Rio_Do_Sul",88486,36.27926,223.86958,110.6075,431.81168,0,0,0,0,0
1,421490,"Rio_Fortuna",10706,4.38946,27.08618,13.3825,52.24528,0,0,0,0,0
1,421520,"Romelandia",5274,2.16234,13.34322,6.5925,25.73712,0,0,0,0,0
1,421540,"Salto_Veloso",5048,2.06968,12.77144,6.31,24.63424,0,0,0,0,0
1,421550,"Santa_Cecilia",18056,7.40296,45.68168,22.57,88.11328,0,0,0,0,0
1,421567,"Santa_Terezinha",9492,3.89172,24.01476,11.865,46.32096,0,0,0,0,0
1,421570,"Santo_Amaro_Da_Imperatriz",24704,10.12864,62.50112,30.88,120.55552,0,0,0,0,0
1,421580,"Sao_Bento_Do_Sul",148469,60.87229,375.62657,185.58625,724.52872,0,0,0,0,0
1,421590,"Sao_Bonifacio",3087,1.26567,7.81011,3.85875,15.06456,0,0,0,0,0
1,421600,"Sao_Carlos",19032,7.80312,48.15096,23.79,92.87616,0,0,0,0,0
1,421620,"Sao_Francisco_Do_Sul",95329,39.08489,241.18237,119.16125,465.20552,0,0,0,0,0
1,421625,"Sao_Joao_Do_Oeste",24909,10.21269,63.01977,31.13625,121.55592,0,0,0,0,0
1,421630,"Sao_Joao_Batista",42790,17.5439,108.2587,53.4875,208.8152,0,0,0,0,0
1,421650,"Sao_Joaquim",28865,11.83465,73.02845,36.08125,140.8612,0,0,0,0,0
1,421660,"Sao_Jose",262008,107.42328,662.88024,327.51,1278.59904,0,0,0,0,0
1,421670,"Sao_Jose_Do_Cedro",29017,11.89697,73.41301,36.27125,141.60296,0,0,0,0,0
1,421680,"Sao_Jose_Do_Cerrito",9082,3.72362,22.97746,11.3525,44.32016,0,0,0,0,0
1,421690,"Sao_Lourenco_Do_Oeste",34168,14.00888,86.44504,42.71,166.73984,0,0,0,0,0
1,421720,"Sao_Miguel_Do_Oeste",51789,21.23349,131.02617,64.73625,252.73032,0,0,0,0,0
1,421725,"Sao_Pedro_De_Alcantara",22108,9.06428,55.93324,27.635,107.88704,0,0,0,0,0
1,421730,"Saudades",12550,5.1455,31.7515,15.6875,61.244,0,0,0,0,0
1,421750,"Seara",23155,9.49355,58.58215,28.94375,112.9964,0,0,0,0,0
1,421770,"Sombrio",61020,25.0182,154.3806,76.275,297.7776,0,0,0,0,0
1,421780,"Taio",27965,11.46565,70.75145,34.95625,136.4692,0,0,0,0,0
1,421790,"Tangara",21913,8.98433,55.43989,27.39125,106.93544,0,0,0,0,0
1,421800,"Tijucas",141847,58.15727,358.87291,177.30875,692.21336,0,0,0,0,0
1,421825,"Timbo_Grande",8426,3.45466,21.31778,10.5325,41.11888,0,0,0,0,0
1,421830,"Tres_Barras",27497,11.27377,69.56741,34.37125,134.18536,0,0,0,0,0
1,421860,"Trombudo_Central",48162,19.74642,121.84986,60.2025,235.03056,0,0,0,0,0
1,421870,"Tubarao",113180,46.4038,286.3454,141.475,552.3184,0,0,0,0,0
1,421880,"Turvo",33991,13.93631,85.99723,42.48875,165.87608,0,0,0,0,0
1,421890,"Urubici",12074,4.95034,30.54722,15.0925,58.92112,0,0,0,0,0
1,421900,"Urussanga",69134,28.34494,174.90902,86.4175,337.37392,0,0,0,0,0
1,421910,"Vargeao",20830,8.5403,52.6999,26.0375,101.6504,0,0,0,0,0
1,421915,"Vargem",2720,1.1152,6.8816,3.4,13.2736,0,0,0,0,0
1,421920,"Vidal_Ramos",6846,2.80686,17.32038,8.5575,33.40848,0,0,0,0,0
1,421930,"Videira",63331,25.96571,160.22743,79.16375,309.05528,0,0,0,0,0
1,421935,"Vitor_Meireles",5408,2.21728,13.68224,6.76,26.39104,0,0,0,0,0
1,421940,"Witmarsum",8668,3.55388,21.93004,10.835,42.29984,0,0,0,0,0
1,421950,"Xanxere",73709,30.22069,186.48377,92.13625,359.69992,0,0,0,0,0
1,421970,"Xaxim",34198,14.02118,86.52094,42.7475,166.88624,0,0,0,0,0
