CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
3014728,"Grenoble",3014728,"Grenoble",0,2
6454573,"Lyon",6454573,"Lyon",0,2
6496352,"Saint-Étienne",6496352,"Saint-Étienne",0,2
2968254,"Villeurbanne",2968254,"Villeurbanne",0,2
6501240,"Clermont-Ferrand",6501240,"Clermont-Ferrand",0,2
8296151,"Annecy",8296151,"Annecy",0,2
2970072,"Vénissieux",2970072,"Vénissieux",0,2
2980691,"Sainte-Colombe",2970072,"Vénissieux",0.48,2
6453882,"Valence",6453882,"Valence",0,2
6430138,"Montéléger",6453882,"Valence",0.24,2
6430140,"Montélimar",6430140,"Montélimar",0,2
3027422,"Chambéry",3027422,"Chambéry",0,2
6527084,"Vaulx-en-Velin",6527084,"Vaulx-en-Velin",0,2
6618456,"Saint-Priest",6618456,"Saint-Priest",0,2
3029096,"Caluire-et-Cuire",3029096,"Caluire-et-Cuire",0,2
3029931,"Bron",3029931,"Bron",0,2
8287970,"Villefranche-sur-Saône",8287970,"Villefranche-sur-Saône",0,2
6433192,"Échirolles",6433192,"Échirolles",0,2
6451007,"Annemasse",6451007,"Annemasse",0,2
2992292,"Montluçon",2992292,"Montluçon",0,2
2979070,"Saint-Chamond",2979070,"Saint-Chamond",0,2
2972742,"Thonon-les-Bains",2972742,"Thonon-les-Bains",0,2
3038745,"Abondance",2972742,"Thonon-les-Bains",0.53,2
2983362,"Roanne",2983362,"Roanne",0,2
2994048,"Meyzieu",2994048,"Meyzieu",0,2
6430196,"Romans-sur-Isère",6430196,"Romans-sur-Isère",0,2
2983536,"Rillieux-la-Pape",2983536,"Rillieux-la-Pape",0,2
6452510,"Aix-les-Bains",6452510,"Aix-les-Bains",0,2
2969280,"Vienne",2969280,"Vienne",0,2
6615539,"Bourgoin-Jallieu",6615539,"Bourgoin-Jallieu",0,2
8287998,"Oullins",8287998,"Oullins",0,2
3036016,"Aurillac",3036016,"Aurillac",0,2
2969365,"Vic-sur-Cère",3036016,"Aurillac",0.39,2
2969392,"Vichy",2969392,"Vichy",0,2
2970685,"Varennes-sur-Allier",2969392,"Vichy",0.52,2
2988888,"Oyonnax",2988888,"Oyonnax",0,2
6441798,"Tassin-la-Demi-Lune",6441798,"Tassin-la-Demi-Lune",0,2
2980586,"Sainte-Foy-lès-Lyon",2980586,"Sainte-Foy-lès-Lyon",0,2
2979985,"Saint-Genis-Laval",2979985,"Saint-Genis-Laval",0,2
3015902,"Givors",3015902,"Givors",0,2
6433470,"Voiron",6433470,"Voiron",0,2
2991481,"Moulins",2991481,"Moulins",0,2
3031089,"Bourbon-l’Archambault",2991481,"Moulins",0.53,2
2976931,"Albertville",2976931,"Albertville",0,2
6617578,"Frontenex",2976931,"Albertville",0.2,2
3002465,"Le Puy-en-Velay",3002465,"Le Puy-en-Velay",0,2
2983489,"Riom",2983489,"Riom",0,2
3020392,"Écully",3020392,"Écully",0,2
2994087,"Meylan",2994087,"Meylan",0,2
3027453,"Chamalières",3027453,"Chamalières",0,2
3018455,"Firminy",3018455,"Firminy",0,2
2981325,"Saint-Bonnet-le-Château",3018455,"Firminy",0.44,2
2976406,"Sallanches",2976406,"Sallanches",0,2
3037514,"Annonay",3037514,"Annonay",0,2
2974809,"Serrières",3037514,"Annonay",0.28,2
2992890,"Montbrison",2992890,"Montbrison",0,2
2979072,"Saint-Julien-en-Genevois",2979072,"Saint-Julien-en-Genevois",0,2
6453474,"Rumilly",6453474,"Rumilly",0,2
3012664,"Issoire",3012664,"Issoire",0,2
2983408,"Rive-de-Gier",2983408,"Rive-de-Gier",0,2
3017363,"Francheville",3017363,"Francheville",0,2
