NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,6484156,"Rouen",494382,825.61794,593.2584,1240.89882,0,1319.99994,3.2629212,2.47191,1.5325842,0.1483146
2,3002964,"Le Havre",238813,398.81771,286.5756,599.42063,0,637.63071,1.5761658,1.194065,0.7403203,0.0716439
2,6427109,"Caen",135143,225.68881,162.1716,339.20893,0,360.83181,0.8919438,0.675715,0.4189433,0.0405429
2,3019265,"Évreux",84100,140.447,100.92,211.091,0,224.547,0.55506,0.4205,0.26071,0.02523
2,3021411,"Dieppe",32052,53.52684,38.4624,80.45052,0,85.57884,0.2115432,0.16026,0.0993612,0.0096156
2,2974153,"Sotteville-lès-Rouen",116347,194.29949,139.6164,292.03097,0,310.64649,0.7678902,0.581735,0.3606757,0.0349041
2,2980236,"Saint-Étienne-du-Rouvray",28641,47.83047,34.3692,71.88891,0,76.47147,0.1890306,0.143205,0.0887871,0.0085923
2,6452432,"Alençon",32528,54.32176,39.0336,81.64528,0,86.84976,0.2146848,0.16264,0.1008368,0.0097584
2,6453910,"Vernon",31703,52.94401,38.0436,79.57453,0,84.64701,0.2092398,0.158515,0.0982793,0.0095109
2,6427260,"Hérouville-Saint-Clair",22954,38.33318,27.5448,57.61454,0,61.28718,0.1514964,0.11477,0.0711574,0.0068862
2,6456462,"Le Petit-Quevilly",21995,36.73165,26.394,55.20745,0,58.72665,0.145167,0.109975,0.0681845,0.0065985
2,2979422,"Lisieux",36922,61.65974,44.3064,92.67422,0,98.58174,0.2436852,0.18461,0.1144582,0.0110766
2,2992003,"Mont-Saint-Aignan",21290,35.5543,25.548,53.4379,0,56.8443,0.140514,0.10645,0.065999,0.006387
2,2978757,"Saint-Lô",54875,91.64125,65.85,137.73625,0,146.51625,0.362175,0.274375,0.1701125,0.0164625
2,2997336,"Louviers",23284,38.88428,27.9408,58.44284,0,62.16828,0.1536744,0.11642,0.0721804,0.0069852
2,3018794,"Fécamp",18251,30.47917,21.9012,45.81001,0,48.73017,0.1204566,0.091255,0.0565781,0.0054753
2,6454686,"Elbeuf",16205,27.06235,19.446,40.67455,0,43.26735,0.106953,0.081025,0.0502355,0.0048615
2,3231095,"Tourlaville",113425,189.41975,136.11,284.69675,0,302.84475,0.748605,0.567125,0.3516175,0.0340275
2,6439093,"Flers",20406,34.07802,24.4872,51.21906,0,54.48402,0.1346796,0.10203,0.0632586,0.0061218
2,8296353,"Bois-Guillaume",14309,23.89603,17.1708,35.91559,0,38.20503,0.0944394,0.071545,0.0443579,0.0042927
2,3037051,"Argentan",17203,28.72901,20.6436,43.17953,0,45.93201,0.1135398,0.086015,0.0533293,0.0051609
2,3034483,"Bayeux",23151,38.66217,27.7812,58.10901,0,61.81317,0.1527966,0.115755,0.0717681,0.0069453
2,6612581,"Granville",20871,34.85457,25.0452,52.38621,0,55.72557,0.1377486,0.104355,0.0647001,0.0062613
2,6451100,"Barentin",31864,53.21288,38.2368,79.97864,0,85.07688,0.2103024,0.15932,0.0987784,0.0095592
2,6443376,"Oissel",12102,20.21034,14.5224,30.37602,0,32.31234,0.0798732,0.06051,0.0375162,0.0036306
2,2971635,"Gisors",15583,26.02361,18.6996,39.11333,0,41.60661,0.1028478,0.077915,0.0483073,0.0046749
2,6443597,"Yvetot",11627,19.41709,13.9524,29.18377,0,31.04409,0.0767382,0.058135,0.0360437,0.0034881
2,3031871,"Bolbec",95227,159.02909,114.2724,239.01977,0,254.25609,0.6284982,0.476135,0.2952037,0.0285681
2,3012903,"Ifs",14633,24.43711,17.5596,36.72883,0,39.07011,0.0965778,0.073165,0.0453623,0.0043899
2,2967972,"Vire",16365,27.32955,19.638,41.07615,0,43.69455,0.108009,0.081825,0.0507315,0.0049095
2,3035639,"Avranches",22926,38.28642,27.5112,57.54426,0,61.21242,0.1513116,0.11463,0.0710706,0.0068778
2,3028214,"Caudebec-lès-Elbeuf",15382,25.68794,18.4584,38.60882,0,41.06994,0.1015212,0.07691,0.0476842,0.0046146
2,6453900,"Pont-Audemer",19465,32.50655,23.358,48.85715,0,51.97155,0.128469,0.097325,0.0603415,0.0058395
2,3033308,"Bernay",21167,35.34889,25.4004,53.12917,0,56.51589,0.1397022,0.105835,0.0656177,0.0063501
2,3021717,"Darnétal",9773,16.32091,11.7276,24.53023,0,26.09391,0.0645018,0.048865,0.0302963,0.0029319
2,3015267,"Grand-Couronne",9716,16.22572,11.6592,24.38716,0,25.94172,0.0641256,0.04858,0.0301196,0.0029148
2,2989013,"Ouistreham",161068,268.98356,193.2816,404.28068,0,430.05156,1.0630488,0.80534,0.4993108,0.0483204
2,2998322,"Lillebonne",8845,14.77115,10.614,22.20095,0,23.61615,0.058377,0.044225,0.0274195,0.0026535
2,3022826,"Coutances",40468,67.58156,48.5616,101.57468,0,108.04956,0.2670888,0.20234,0.1254508,0.0121404
2,2998664,"Harfleur",8395,14.01965,10.074,21.07145,0,22.41465,0.055407,0.041975,0.0260245,0.0025185
2,3032025,"Bihorel",198889,332.14463,238.6668,499.21139,0,531.03363,1.3126674,0.994445,0.6165559,0.0596667
2,3002172,"Les Andelys",17391,29.04297,20.8692,43.65141,0,46.43397,0.1147806,0.086955,0.0539121,0.0052173
2,8289772,"Falaise",19576,32.69192,23.4912,49.13576,0,52.26792,0.1292016,0.09788,0.0606856,0.0058728
2,2980795,"Sainte-Adresse",21186,35.38062,25.4232,53.17686,0,56.56662,0.1398276,0.10593,0.0656766,0.0063558
2,2970860,"Valognes",14634,24.43878,17.5608,36.73134,0,39.07278,0.0965844,0.07317,0.0453654,0.0043902
2,3019329,"Eu",17803,29.73101,21.3636,44.68553,0,47.53401,0.1174998,0.089015,0.0551893,0.0053409
2,6443244,"Gournay-en-Bray",12831,21.42777,15.3972,32.20581,0,34.25877,0.0846846,0.064155,0.0397761,0.0038493
2,2989753,"Octeville-sur-Mer",5987,9.99829,7.1844,15.02737,0,15.98529,0.0395142,0.029935,0.0185597,0.0017961
2,3009486,"La Ferté-Macé",21797,36.40099,26.1564,54.71047,0,58.19799,0.1438602,0.108985,0.0675707,0.0065391
2,6443142,"Cléon",4943,8.25481,5.9316,12.40693,0,13.19781,0.0326238,0.024715,0.0153233,0.0014829
2,2979401,"Saint-James",34674,57.90558,41.6088,87.03174,0,92.57958,0.2288484,0.17337,0.1074894,0.0104022
2,2990680,"Neufchâtel-en-Bray",14399,24.04633,17.2788,36.14149,0,38.44533,0.0950334,0.071995,0.0446369,0.0043197
2,6455786,"Le Neubourg",4204,7.02068,5.0448,10.55204,0,11.22468,0.0277464,0.02102,0.0130324,0.0012612
2,6454473,"Sées",17091,28.54197,20.5092,42.89841,0,45.63297,0.1128006,0.085455,0.0529821,0.0051273
2,2977146,"Saint-Romain-de-Colbosc",38182,63.76394,45.8184,95.83682,0,101.94594,0.2520012,0.19091,0.1183642,0.0114546
2,6430282,"Bourg-Achard",3945,6.58815,4.734,9.90195,0,10.53315,0.026037,0.019725,0.0122295,0.0011835
2,2978981,"Mortagne-au-Perche",6724,11.22908,8.0688,16.87724,0,17.95308,0.0443784,0.03362,0.0208444,0.0020172
